id sire dam generation sex phen env tbvp gebvp
251  58  87 1 M -0.87826138 -2.0410442078 1.5996745 0
252  58  87 1 M -0.05907804 -0.9701920991 1.5273076 0
253  58  87 1 M  2.72270519  1.4052346568 1.7499769 0
254  58  87 1 M  2.42988557  0.3508273467 1.5860944 0
255  58  87 1 F  1.99578150 -0.0552361645 1.6061348 0
256  58 194 1 M  1.83150502  0.2415688047 1.5852322 0
257  58 194 1 F  2.62339947  0.6746509859 1.8069087 0
258  58 194 1 M  1.96998345  0.6272127327 1.3987917 0
259  58 194 1 F  2.63256179  0.2789922435 1.8708851 0
260  58 194 1 F  2.17689332  0.7879342881 1.3897117 0
261  83   4 1 M  0.69986671  0.5249016375 1.1772529 0
262  83   4 1 F  1.33200115  0.6284285240 1.1846362 0
263  83   4 1 M -0.83736541 -0.8631057342 1.0544416 0
264  83   4 1 F  0.01018214 -0.1995573597 1.1070576 0
265  83   4 1 F  1.25619173  1.0031256393 1.1495432 0
266  83  40 1 M  0.83643258 -0.9293730148 1.5626352 0
267  83  40 1 M  1.43682705  0.0006401668 1.3437513 0
268  83  40 1 M  0.35179279 -0.8598181898 1.5145515 0
269  83  40 1 F  2.18270372  0.3733212936 1.5195421 0
270  83  40 1 F  2.34828677  1.1065084406 1.2913558 0
271  37 181 1 M -0.41485794 -1.1815523878 1.0840483 0
272  37 181 1 F  2.61230993  1.2238266909 1.5118658 0
273  37 181 1 M  0.27206050 -0.5735262296 1.0433786 0
274  37 181 1 M  2.58545230  0.8623759401 1.6507037 0
275  37 181 1 F  2.31513040  0.6774786746 1.3032694 0
276  37  78 1 F  1.08809606 -1.0795248580 1.4465890 0
277  37  78 1 M  2.65489397  0.9097114877 1.4294814 0
278  37  78 1 M  1.13244429 -0.1690874453 1.5009460 0
279  37  78 1 M  2.41865802  0.7813971643 1.6774223 0
280  37  78 1 M -0.14759827 -1.5425666176 1.1917017 0
281 183  93 1 M  1.65694959  0.8683075282 1.1191446 0
282 183  93 1 F  1.68367182  0.3916132236 1.3846466 0
283 183  93 1 M  1.88706389  0.1335401810 1.6041046 0
284 183  93 1 F  0.42661775 -0.7952290023 1.2885449 0
285 183  93 1 M  1.90610967  0.6108944188 1.2577238 0
286 183 167 1 F  1.47891302  0.3866530077 1.1542424 0
287 183 167 1 M -0.35236698 -1.3520589002 1.1255095 0
288 183 167 1 M -0.44600247 -1.3052478638 1.3849340 0
289 183 167 1 F  0.93941394 -0.3547830126 1.3575713 0
290 183 167 1 F  0.60952439 -0.6236442444 1.3232558 0
291  54 180 1 F  2.55133181  0.6322094229 1.5580339 0
292  54 180 1 M  0.29077617  0.1086052880 0.7237674 0
293  54 180 1 F  1.21147041  0.7954724168 0.7725018 0
294  54 180 1 F -0.75429032 -1.3015408660 1.2560794 0
295  54 180 1 M  0.39502873 -0.1945491638 1.0654033 0
296  54 187 1 F  1.58772187  0.9133196583 0.9722061 0
297  54 187 1 F -0.37471703 -1.7811224394 1.4069995 0
298  54 187 1 F  0.30907168 -1.2102117872 1.5650341 0
299  54 187 1 M  0.66034735 -0.5325654395 1.5075649 0
300  54 187 1 F  0.29880051 -0.7794323397 1.3119210 0
301  48  46 1 M  2.69110655  0.9099924436 1.3121678 0
302  48  46 1 F  0.55070419 -0.8868966321 1.4855789 0
303  48  46 1 M  1.05677051 -0.4474251437 1.3343521 0
304  48  46 1 M  0.01456570 -0.4694670062 1.1352845 0
305  48  46 1 F  0.72697641 -0.2787067967 1.4972787 0
306  48 142 1 F -0.84265440 -1.0001124030 0.8710734 0
307  48 142 1 F  1.78816036  0.5269207309 1.2310415 0
308  48 142 1 M  2.64997325  0.2460038398 1.7290529 0
309  48 142 1 M  0.89460319 -0.6921248818 1.4358321 0
310  48 142 1 F  2.07456695  1.1404639724 1.1094869 0
311  26  61 1 M  2.37922250 -0.5544153732 2.2281188 0
312  26  61 1 F  1.29255388 -0.5849128387 1.7784060 0
313  26  61 1 M  1.69835670 -0.4689434973 1.9564593 0
314  26  61 1 M  3.58954312  0.2148440000 2.3700209 0
315  26  61 1 M  2.34439526 -0.1330472742 1.9801404 0
316  26 128 1 M  0.86676953 -1.4472095929 1.7376995 0
317  26 128 1 F  4.53492475  1.0740125016 2.3529384 0
318  26 128 1 F  2.19581206  0.0230900508 1.6221993 0
319  26 128 1 M  2.12093526 -0.2289359075 1.8862499 0
320  26 128 1 F  1.52064608 -0.2655652152 1.7416826 0
321   8  10 1 F  1.55865426  0.2483637850 1.5146799 0
322   8  10 1 M  2.78012855  1.1763481372 1.5709428 0
323   8  10 1 F  1.21283333 -0.0714582436 1.5665013 0
324   8  10 1 M  1.04595458  0.7516092120 1.0744594 0
325   8  10 1 M  0.57832341 -0.9118771487 1.5850656 0
326   8 115 1 M  1.59822334  0.5244795447 1.3295665 0
327   8 115 1 M  1.89238875  0.3306810639 1.5079371 0
328   8 115 1 F  2.41375096  0.4980802649 1.6465424 0
329   8 115 1 F  1.36789764 -0.8595138334 1.8098910 0
330   8 115 1 F  1.74821884  0.4065183337 1.3786865 0
331  45 127 1 M  1.75234581 -0.4402300025 1.7495881 0
332  45 127 1 F -0.32375819 -1.5028246899 1.5647880 0
333  45 127 1 F  0.15047256 -0.9785193334 1.5771385 0
334  45 127 1 F  1.59640052  0.4627614238 1.3939577 0
335  45 127 1 M  0.59219559 -0.9808931145 1.7349883 0
336  45 176 1 M  1.45330858 -0.0670896424 1.3515037 0
337  45 176 1 M  1.07430844  0.1355031341 1.0683839 0
338  45 176 1 F  1.83443890  0.5752231030 1.2420739 0
339  45 176 1 F  1.29481945 -0.4397529101 1.2580985 0
340  45 176 1 F  2.71780315  0.3656867238 1.5463663 0
341  47 153 1 M  0.48499062 -0.1770748134 1.0648396 0
342  47 153 1 F -0.12851815 -1.1634252047 1.0734190 0
343  47 153 1 F  0.39176248 -0.4812951496 1.0948428 0
344  47 153 1 M  0.67443866 -0.1856773568 1.0918980 0
345  47 153 1 M  0.63957801 -0.4651496979 1.2381162 0
346  47 121 1 F  0.90925391 -0.7162948048 1.4132506 0
347  47 121 1 F  2.17350155  0.1674846211 1.6268494 0
348  47 121 1 F  3.12861385  1.1273487313 1.6798529 0
349  47 121 1 M  2.15371840  0.2384581411 1.4952258 0
350  47 121 1 F  2.79254117  1.0108635351 1.5407015 0
351   6  53 1 M  0.83971455 -0.6995477400 1.4630697 0
352   6  53 1 M  1.28377579  0.2498789457 1.2671010 0
353   6  53 1 F  1.87281248  0.8223703592 1.2405544 0
354   6  53 1 F  0.79928753  0.3134157007 1.1633354 0
355   6  53 1 M  0.11147874 -0.5990774910 1.1282464 0
356   6 149 1 F  0.15665408 -0.7651807891 1.3839187 0
357   6 149 1 F  0.03766019 -0.3295757336 0.8271088 0
358   6 149 1 F  0.03175564 -0.2641728845 0.7149723 0
359   6 149 1 M  1.76056956  0.9488012996 1.1871076 0
360   6 149 1 M  1.07311930  0.6609726869 0.9639913 0
361  64  49 1 F  1.94952149  0.2446880914 1.4352501 0
362  64  49 1 M  2.90341006  0.4892891070 1.9270207 0
363  64  49 1 M  0.99639412 -0.3663679679 1.3201244 0
364  64  49 1 M  3.22409513  1.2723810632 1.6437535 0
365  64  49 1 M  2.32261354  0.8021433228 1.5897962 0
366  64 101 1 M  0.47071963  0.3605669632 0.9428777 0
367  64 101 1 M  1.75948603  0.5469418390 1.2587468 0
368  64 101 1 M  1.93713327  0.3844616991 1.4022437 0
369  64 101 1 M  0.26720256 -1.5682660378 1.5158553 0
