id sire dam generation sex phen env tbvp gebvp
1151  904 1094 3 F  2.514964633  1.084719798 1.3097481 0
1152  702 1094 3 M  1.825700323 -0.206594041 1.5558986 0
1153  728 1094 3 F  2.019753987  0.437417583 1.6379754 0
1154  813 1094 3 F -0.470855818 -0.984698617 1.1473722 0
1155  655 1094 3 F  0.689476282  0.171067735 1.0937372 0
1156  728  698 3 M  0.806859197 -0.979520567 1.6255591 0
1157  655  698 3 M  2.968859757  0.596653784 1.8372194 0
1158  865  698 3 F  2.125839062  0.783448764 1.6406863 0
1159  926  698 3 M  1.153939744 -0.272728199 1.3267638 0
1160  816  698 3 M  1.429354612 -0.108466665 1.5677110 0
1161 1105  681 3 M  1.080250568 -0.395733452 1.5021010 0
1162  949  681 3 F  0.197505805 -0.311814230 1.1532555 0
1163  999  681 3 F  0.971425247 -0.037465422 1.2813087 0
1164  941  681 3 F  1.889480341  1.287699555 0.9805408 0
1165 1092  681 3 F  1.601380975  0.805703064 0.9815854 0
1166 1105  818 3 F  0.500332109  0.356890921 0.8582387 0
1167  827  818 3 M  2.388246852  0.248167872 1.5763238 0
1168 1124  818 3 F  3.131236088  0.531482567 1.8514153 0
1169  953  818 3 M  1.449392126 -0.479331739 1.7536357 0
1170 1020  818 3 M  0.575117584 -0.021229126 1.1516909 0
1171 1092  739 3 M  0.280179755 -0.543735373 1.0377923 0
1172  991  739 3 M  1.073633162  0.451127960 1.2154692 0
1173  704  739 3 M  1.201531080  0.441495139 1.2686359 0
1174  755  739 3 F  0.443465056 -0.734650357 1.4285560 0
1175  702  739 3 M  2.722043044  0.618594825 1.5818625 0
1176  820  992 3 M  1.760725002  0.398658905 1.2864405 0
1177  661  992 3 M  0.708344075 -0.692127389 1.3141598 0
1178 1072  992 3 M  1.623791450 -0.445770141 1.5143694 0
1179 1060  992 3 M  1.841112786  0.583494107 1.4009663 0
1180  982  992 3 M  2.322872167  0.899489468 1.5898183 0
1181  671  839 3 M  1.578891553 -0.503966175 1.8330329 0
1182  672  839 3 M  1.625241469 -0.339950851 1.6112949 0
1183  820  839 3 M  0.485030089 -1.128497382 1.3671286 0
1184  700  839 3 F  3.565367741  1.533840729 1.4844165 0
1185  699  839 3 F  1.882056609  0.162111941 1.7436556 0
1186  782 1018 3 M  3.045910415  1.616115660 1.4114661 0
1187  694 1018 3 F  2.042848027 -0.095161521 1.8756549 0
1188 1105 1018 3 F  1.836014072  0.747432305 1.5720020 0
1189  926 1018 3 M  2.020649865 -0.096533955 1.6846487 0
1190  694 1018 3 M  1.246736025 -0.090955998 1.4955392 0
1191 1109  794 3 M  2.039988434 -0.249649272 1.5629733 0
1192  672  794 3 F  1.606754829 -0.009351075 1.5180861 0
1193 1124  794 3 M  2.717932029  1.146328812 1.3578737 0
1194  991  794 3 F  1.843689481  0.007753580 1.5724867 0
1195  820  794 3 M  2.176944011  0.669333304 1.2643044 0
1196  782  968 3 M  0.319044884  0.163886550 1.0522830 0
1197  999  968 3 F  0.287711961 -0.108341206 1.0078316 0
1198  942  968 3 F  0.552549134  0.296913146 1.0153740 0
1199  785  968 3 M  1.663046464 -0.159109877 1.6596139 0
1200 1079  968 3 M  1.749746877  0.416653002 1.3667026 0
1201 1079  845 3 F  0.365012287 -1.250775646 1.5129036 0
1202  728  845 3 M  1.831355510  0.546725186 1.2713560 0
1203  785  845 3 M  2.316762463 -0.505734376 1.9714478 0
1204  953  845 3 M  1.283802168 -0.484001288 1.4577222 0
1205  671  845 3 F  0.976198979 -0.492994912 1.5198584 0
1206  782  653 3 M  0.127844931  0.074931703 0.6366713 0
1207  890  653 3 M  1.816664740  0.763747355 1.3496323 0
1208  702  653 3 F  3.082310561  1.038980710 1.6755968 0
1209 1092  653 3 M  1.252730213  0.534811173 1.2076479 0
1210  982  653 3 M -0.159412781 -0.907081862 0.8637719 0
1211 1060 1050 3 F  1.997074882  0.269486523 1.3718143 0
1212  857 1050 3 F  2.485866756  1.358235015 1.1910576 0
1213  777 1050 3 F  2.749551222  1.199950430 1.5928367 0
1214  661 1050 3 M  1.207131755 -0.742884247 1.4129511 0
1215 1119 1050 3 M  1.293933406  0.660967150 0.9266158 0
1216  991  692 3 M  0.664766078 -0.820650640 1.4564619 0
1217  852  692 3 F  2.056631381 -0.063140998 1.5435764 0
1218  949  692 3 F  3.469089426  1.630295917 1.6015593 0
1219  953  692 3 M  2.052348411  0.186727553 1.6631926 0
1220  747  692 3 F  1.867406012 -0.616760701 2.0152200 0
1221  827 1030 3 M  1.984542348 -0.004030744 1.5983406 0
1222  833 1030 3 F  2.203472738 -0.186307410 1.6879055 0
1223  827 1030 3 F  1.765640791 -0.628213512 1.8984299 0
1224 1060 1030 3 M  0.292718379 -1.672450649 1.4502731 0
1225  890 1030 3 F  2.707197155  0.437276077 1.6428522 0
1226  999  746 3 F -0.337456426 -1.419797381 1.3169110 0
1227  926  746 3 M  1.273109415 -0.024161891 1.6924047 0
1228  671  746 3 F  2.084395053 -0.417407974 1.7991544 0
1229 1115  746 3 F  0.215529435 -0.933133866 1.2328684 0
1230  811  746 3 F  1.216072321 -0.285556981 1.6481185 0
1231 1060  910 3 F  1.849474227  0.454539466 1.6577795 0
