ID sire dam generation sex phen env tbvp gebvp
   1 5313 6053 6 F  2.27683787  0.3431904283 2.0287737 0
   2 5313 6053 6 F  2.88670523  0.6862307818 1.8585155 0
   3 5313 6053 6 M  1.13053902 -1.1381308665 1.9659341 0
   4 5313 6053 6 F  1.54941778 -0.0101653714 1.6514954 0
   5 5313 6053 6 M  1.96636953  0.0337054990 1.9260108 0
   6 5313 6132 6 F  1.97844066  0.3107757931 1.7427520 0
   7 5313 6132 6 F  2.29749813  0.4886659715 1.7116466 0
   8 5313 6132 6 F  2.32500306  0.3237689359 1.8576673 0
   9 5313 6132 6 M  2.00040097  0.3885398223 1.6448333 0
  10 5313 6132 6 M  2.11947346 -0.1458542601 1.7964990 0
  11 5311 6069 6 F  2.87930951 -0.0473534969 2.1254799 0
  12 5311 6069 6 F  3.09059250  0.4303091084 1.9392215 0
  13 5311 6069 6 F  2.87201927  1.0077479382 1.6810921 0
  14 5311 6069 6 F  3.01420047  0.2282447126 2.0716786 0
  15 5311 6069 6 M  2.42862332 -0.2239458703 1.9827130 0
  16 5311 6136 6 M -0.79939376 -0.9273807340 1.0693505 0
  17 5311 6136 6 F -1.25501069 -0.7720663509 0.9103214 0
  18 5311 6136 6 M -0.15914517 -0.3849604313 1.0850425 0
  19 5311 6136 6 M -0.08900107 -0.0107899837 1.0277681 0
  20 5311 6136 6 F -0.62617551 -0.4398006813 1.0395861 0
  21 5301 6068 6 F  3.04793947  0.5096823306 2.0882929 0
  22 5301 6068 6 F  3.07174365  0.1819249820 2.0717609 0
  23 5301 6068 6 F  2.39110115  0.1381378729 1.6785652 0
  24 5301 6068 6 F  2.42988184  0.6589358416 1.8337449 0
  25 5301 6068 6 M  1.63468885  0.0965226106 1.7883693 0
  26 5301 6021 6 F  0.34451804 -0.1465275640 1.0338285 0
  27 5301 6021 6 M  1.21465128  0.5912641825 1.0879276 0
  28 5301 6021 6 M  1.03478586  0.7624181242 0.9349620 0
  29 5301 6021 6 M -0.08871030 -0.2308406023 1.0228427 0
  30 5301 6021 6 M -0.70980894 -0.5448075352 0.8928840 0
  31 5358 5915 6 M -0.29670800 -0.1735462631 0.8922062 0
