ID sire dam generation sex phen env tbvp gebvp
   1  943 1121 1 F  3.962970374  0.9940003676  1.63965591 0
   2  943 1121 1 F  3.503251366  0.7662530385  1.51125192 0
   3  943 1121 1 M  3.851766844  0.4195951708  1.77237375 0
   4  943 1121 1 M  2.303135364 -0.6136647845  1.46617477 0
   5  943 1121 1 M  4.461021132  1.3476193564  1.75286851 0
   6  943 1230 1 M  1.500105110 -0.6436435710  1.38062915 0
   7  943 1230 1 F  1.794904123 -0.1349779896  1.25173227 0
   8  943 1230 1 M  2.948271471  0.2006147982  1.43429094 0
   9  943 1230 1 F  2.876149708  0.4900775643  1.39358563 0
  10  943 1230 1 M  0.919288008 -0.9415112803  1.16563066 0
  11  401 1194 1 F  1.340281537 -0.0990516682  1.46292643 0
  12  401 1194 1 F  1.104718894 -0.1791061536  1.14825790 0
  13  401 1194 1 F  2.578260347  0.8497096864  1.36046198 0
  14  401 1194 1 F  1.029277778 -1.3502384502  1.43267311 0
  15  401 1194 1 M  1.550288803 -0.4263950873  1.46641085 0
  16  401  528 1 M  4.183917606  1.0887335345  1.68829119 0
  17  401  528 1 F  1.610946609 -1.0340313015  1.60577522 0
  18  401  528 1 M  2.606568859  0.5354011263  1.50868351 0
  19  401  528 1 M  2.340406997 -0.5121579841  1.74554860 0
  20  401  528 1 M  1.798068316 -0.3335361520  1.61476007 0
  21  402  980 1 M  2.065208275  0.2101690260  1.38579891 0
  22  402  980 1 M  3.511625163  0.1157705192  1.76998413 0
  23  402  980 1 M  3.280777029  0.6846041186  1.61302115 0
  24  402  980 1 F  2.748987504 -0.1862440810  1.74719711 0
  25  402  980 1 M  1.077185713 -1.1584916961  1.37614073 0
  26  402 1135 1 F -0.247831072  0.2510681870  0.45274071 0
  27  402 1135 1 F -1.607277704 -0.4734577854  0.10224425 0
  28  402 1135 1 M -1.187773614 -0.5591058165  0.34467758 0
  29  402 1135 1 F  0.572817201  0.1114891562  0.68238449 0
  30  402 1135 1 F  0.120603328  0.4584836800  0.39678534 0
  31  602  340 1 M  1.987318164 -0.5264104507  1.60774964 0
  32  602  340 1 F  2.423399681  0.8536236876  1.34462386 0
  33  602  340 1 F  1.421920334 -0.7740004227  1.34450478 0
  34  602  340 1 F  2.371073467  0.1449159194  1.44903508 0
  35  602  340 1 M  1.731556761 -0.4616784453  1.49226076 0
  36  602  441 1 M  0.540691431 -1.4392882060  1.36191655 0
  37  602  441 1 F  1.453988464 -0.1155262135  1.18625411 0
  38  602  441 1 M  1.352677046 -0.0626405091  1.14992792 0
  39  602  441 1 F  1.203240334 -0.3026957980  1.26653289 0
  40  602  441 1 M  3.497772467  0.5194761195  1.67197466 0
  41  703 1136 1 M -2.240277952 -0.8959830458  0.10241625 0
  42  703 1136 1 F -1.232135740 -0.7076383644  0.43767756 0
  43  703 1136 1 M -2.072855193 -0.7644757661  0.19546823 0
  44  703 1136 1 F -1.477433427 -0.2741845925  0.29033169 0
  45  703 1136 1 F -0.719665650 -0.0211730905  0.37138048 0
  46  703  599 1 M  1.925299470 -0.1536915084  1.27521419 0
  47  703  599 1 F  2.537372943  0.8269043534  1.24992494 0
  48  703  599 1 M  2.259295525  0.3807489244  1.25813871 0
  49  703  599 1 F  2.223303195  0.2559020764  1.33710625 0
  50  703  599 1 M -0.230924803 -1.5801097405  1.05120394 0
  51  616  598 1 F  3.026223840  1.7026606212  1.04462018 0
  52  616  598 1 M  2.365362019  0.8267254024  1.10520142 0
  53  616  598 1 F  1.853710441  0.6838786436  1.06624358 0
  54  616  598 1 M  0.680554879 -0.5311516543  0.98652506 0
  55  616  598 1 M  1.902429808  0.1695302046  1.21151801 0
  56  616 1193 1 M  2.443946293  0.8296449804  1.14499479 0
  57  616 1193 1 M  1.970268770  0.1973377028  1.21476837 0
  58  616 1193 1 M  1.215297325 -0.4255346691  1.20403345 0
  59  616 1193 1 M  0.968857938  0.2780301029  1.03385110 0
  60  616 1193 1 F  2.259713069 -0.1999865348  1.42096387 0
  61  509 1195 1 M  3.461444299  1.3120530248  1.31881235 0
  62  509 1195 1 M  1.697762791 -0.1303159304  1.23787778 0
  63  509 1195 1 M -0.196664916 -0.6820915443  0.89801336 0
  64  509 1195 1 F  1.881323166  0.3783156151  1.14581868 0
  65  509 1195 1 F  0.834297679 -1.0007107701  1.32919022 0
  66  509  389 1 M  0.865289402 -0.9715332738  1.41844103 0
  67  509  389 1 M  3.191843263  0.0272321308  1.64654224 0
  68  509  389 1 F  1.778160320 -0.3113935892  1.35488464 0
  69  509  389 1 F  2.245611587  0.0945331405  1.45507204 0
  70  509  389 1 F  1.514329561  0.0559101822  1.29229709 0
  71  938  349 1 F  1.118197007 -0.5587786890  1.34650916 0
  72  938  349 1 F  1.402089270 -0.3414483981  1.18842656 0
  73  938  349 1 F  2.140427591  0.8439497807  1.18980073 0
  74  938  349 1 M  1.060006233 -0.4113814386  1.08474479 0
  75  938  349 1 F  2.686166792  0.2896596086  1.57266954 0
  76  938  518 1 F  2.714795144  0.1990556390  1.44229465 0
  77  938  518 1 F  1.510313321 -0.2383700157  1.31274218 0
  78  938  518 1 F  3.025630776  0.5630496336  1.52790035 0
  79  938  518 1 F  1.594409684  0.2279798094  1.01705556 0
  80  938  518 1 M  1.970170830 -0.2220355142  1.37983908 0
  81  788  359 1 F  0.123670936 -1.3067825904  1.12617478 0
  82  788  359 1 F  1.532722589 -0.0389231033  1.31404742 0
  83  788  359 1 F  2.148932068 -0.5590124155  1.55374242 0
  84  788  359 1 M  1.307673995 -0.0555892186  1.11725796 0
  85  788  359 1 M  2.081274813 -0.4878590665  1.58768955 0
  86  788 1119 1 F  4.287195109  0.7060654971  1.81446089 0
  87  788 1119 1 F  3.465188480  0.5473214590  1.66707337 0
  88  788 1119 1 F  3.032869222  0.0464422566  1.61588935 0
  89  788 1119 1 F  4.129621564  0.4220977918  1.83408608 0
  90  788 1119 1 F  3.412043349  0.2396543823  1.75415491 0
  91  868 1231 1 F  3.268242984  1.2611192275  1.32913716 0
  92  868 1231 1 F  2.294583387  0.2967265941  1.27476932 0
  93  868 1231 1 M  2.401744316 -0.0716144646  1.41899603 0
  94  868 1231 1 F  1.407908844 -0.2212951967  1.22071623 0
  95  868 1231 1 F  1.349276927  0.0683180736  1.05263255 0
  96  868  786 1 M  2.154126797  0.6173631294  1.08039329 0
  97  868  786 1 F  2.177892184  0.5377004247  1.10600595 0
  98  868  786 1 F  1.447902777 -0.0146620660  1.11143190 0
  99  868  786 1 M  1.744476071  0.1999482473  1.16158597 0
 100  868  786 1 M  2.438462465  0.2184893822  1.26327237 0
 101  603 1198 1 F  2.490562929  1.0290239015  1.25677602 0
 102  603 1198 1 M  2.713750812  0.2379390811  1.37745848 0
 103  603 1198 1 M  1.187394720  0.3108355349  0.95546206 0
 104  603 1198 1 F  0.327646768 -0.1362663913  0.87871331 0
 105  603 1198 1 F  1.420429574 -0.2153866796  1.13827753 0
 106  603  530 1 M  1.120598901  0.5636584849  0.95622946 0
 107  603  530 1 M  0.663022503 -0.1927958969  1.14420149 0
 108  603  530 1 M  0.532602858 -0.4771566802  1.10644844 0
 109  603  530 1 F  3.196644469  0.2724431603  1.66099520 0
 110  603  530 1 M  2.917311614  0.6105741661  1.37493745 0
 111  965 1123 1 F  0.687189521 -1.0300629716  1.37729891 0
 112  965 1123 1 M  2.280016568  0.1058027243  1.42438550 0
 113  965 1123 1 M  2.488804112  0.6347768614  1.26067765 0
 114  965 1123 1 F  2.506167519  0.5804628196  1.30981508 0
 115  965 1123 1 M  2.883184187  0.7269509946  1.45934624 0
 116  965  361 1 M  1.695490555  0.0191405816  1.28933973 0
 117  965  361 1 M  1.894502607  0.4165110818  1.10948850 0
 118  965  361 1 F  0.802115561 -0.3326426745  1.11532685 0
 119  965  361 1 M  1.134787105 -0.1576632516  1.14739846 0
 120  965  361 1 M  0.961231108 -1.2999213325  1.35659451 0
 121  604 1118 1 F  3.424597444  0.7147286912  1.65698007 0
 122  604 1118 1 M  2.006455404 -0.3594389165  1.63045760 0
 123  604 1118 1 F  1.792353245 -0.5815082341  1.40879658 0
 124  604 1118 1 M  3.227266365  0.5257310028  1.67927132 0
 125  604 1118 1 M  3.379181564  0.7673045852  1.39952063 0
 126  604  622 1 F  0.950269788  0.6834155457  0.74784699 0
 127  604  622 1 M -0.085789397 -0.9198986197  0.94753183 0
 128  604  622 1 M  0.487113243 -0.8513449430  0.99572474 0
 129  604  622 1 M  1.676737683  0.8738660173  1.13532284 0
 130  604  622 1 M -1.138229473 -1.0917497047  0.61196442 0
 131  613  382 1 F  0.125508279 -1.4881100558  1.28223198 0
 132  613  382 1 M  2.645792634  0.6651430979  1.33151428 0
 133  613  382 1 M  1.773045905 -0.8929255297  1.62264660 0
 134  613  382 1 M  4.021576364  0.9827562100  1.59784917 0
 135  613  382 1 M  2.101743691 -0.6452361773  1.63388174 0
 136  613  977 1 M  1.410702521 -0.2359023079  1.27259834 0
 137  613  977 1 F  2.322896182  0.9416657371  1.11323642 0
 138  613  977 1 F  1.362668957 -0.4594541666  1.20640909 0
 139  613  977 1 M  2.285767166 -0.1555717925  1.38359144 0
 140  613  977 1 M  3.851366778  0.8899487732  1.57715493 0
