ID sire dam generation sex phen env tbvp gebvp
  90 3252 2307 3 M  2.812162206 -3.400000e-02 1.8869902 0
  91 3057 3048 3 M  2.499926611  1.566935e-02 1.6472117 0
  92 3057 3048 3 F  2.930283008 -7.861730e-02 1.7017603 0
  93 3057 3048 3 M  3.908402820  6.343507e-01 1.9778146 0
  94 3057 3048 3 M  0.659142276 -1.061252e+00 1.5861927 0
  95 3057 3048 3 F  1.930432435 -2.659727e-01 1.6302939 0
  96 3057 2368 3 F  2.638886690  9.849513e-01 1.5843751 0
  97 3057 2368 3 M  0.256084782 -9.265704e-01 1.4654919 0
  98 3057 2368 3 F  2.325762057  4.660713e-01 1.5732385 0
  99 3057 2368 3 F  3.734190960  8.123371e-01 1.7781282 0
 100 3057 2368 3 F  2.803520291  8.004006e-01 1.5706630 0
 101 2376 2523 3 F  2.570112430  6.116423e-01 1.5848628 0
 102 2376 2523 3 F  3.112723555  8.602783e-01 1.5891565 0
 103 2376 2523 3 F  2.275165247 -3.162724e-01 1.5960430 0
 104 2376 2523 3 F -0.305037327 -9.855384e-01 1.1951745 0
 105 2376 2523 3 F  2.307523627  1.004310e+00 1.4140227 0
 106 2376 2366 3 F -0.255263817  5.398989e-01 0.6102217 0
 107 2376 2366 3 F -0.116747187  4.321940e-01 0.6305241 0
 108 2376 2366 3 F -0.481616642  2.039876e-01 0.6214537 0
 109 2376 2366 3 M -0.616378414  4.140867e-01 0.4915556 0
 110 2376 2366 3 M -0.202200040  8.803218e-01 0.4782757 0
 111 2744 3094 3 F  0.124808258 -1.073923e+00 1.2630630 0
 112 2744 3094 3 F  1.830931832  5.317075e-01 1.3261705 0
 113 2744 3094 3 F  1.537162023  7.497939e-01 1.1356215 0
 114 2744 3094 3 M  1.383579052  2.424523e-01 1.2687008 0
 115 2744 3094 3 M  1.313226275 -1.518276e-01 1.3337156 0
 116 2744 2976 3 F  1.005431527 -6.960867e-01 1.3961888 0
 117 2744 2976 3 M  0.704286048 -1.246796e+00 1.4567109 0
 118 2744 2976 3 F  2.062992728  9.716357e-01 1.2910174 0
 119 2744 2976 3 M  0.844063028 -1.802952e-01 1.4020655 0
 120 2744 2976 3 M  2.163987981  5.226949e-01 1.4413418 0
 121 2380 3134 3 M  1.661128951 -1.056781e-01 1.4529751 0
 122 2380 3134 3 M  2.816209617  2.278084e-01 1.6806867 0
 123 2380 3134 3 M  1.036176356 -3.010596e-01 1.3642372 0
 124 2380 3134 3 F  0.312181388 -1.048226e+00 1.3835391 0
 125 2380 3134 3 M  3.748326036  1.190497e+00 1.7135859 0
 126 2380 3130 3 F  4.036198042  2.228001e+00 1.5684304 0
 127 2380 3130 3 M  2.492635809 -8.385596e-02 1.7091210 0
 128 2380 3130 3 M  3.238686807  1.550759e+00 1.5484632 0
 129 2380 3130 3 F  2.862430987  4.095870e-01 1.6100446 0
 130 2380 3130 3 M  0.694775123 -8.358319e-01 1.4848339 0
 131 2404 2659 3 M  2.377979699  7.485998e-01 1.5309892 0
 132 2404 2659 3 F -0.846287727 -2.161312e+00 1.4121470 0
 133 2404 2659 3 F  0.707146376 -2.473079e-01 1.2844600 0
