ID sire dam generation sex phen env tbvp gebvp
   1 3071 2368 3 M  1.508916490 -3.650765e-01 1.5007836 0
   2 3071 2368 3 M  2.545951431  1.812227e-01 1.6605624 0
   3 3071 2368 3 M  2.316885290  3.465568e-01 1.5315778 0
   4 3071 2368 3 M -0.027871151 -1.063774e+00 1.2287564 0
   5 3071 2368 3 M  0.925099468  5.155677e-01 1.0302520 0
   6 3071 2724 3 F  1.716389660 -7.708232e-02 1.3802063 0
   7 3071 2724 3 M  2.576992537 -2.068564e-01 1.7927936 0
   8 3071 2724 3 M  1.519681250 -1.819084e-02 1.3841389 0
   9 3071 2724 3 F  3.392750744  7.488591e-01 1.7962024 0
  10 3071 2724 3 F  2.467565506  1.916452e-01 1.5737178 0
  11 2607 2568 3 F  2.743081754  2.741139e-01 1.7200750 0
  12 2607 2568 3 M  0.887989088 -2.028787e-01 1.3708185 0
  13 2607 2568 3 F  2.218341521 -1.277658e+00 1.9584935 0
  14 2607 2568 3 F  1.901590357  2.586616e-01 1.4399864 0
  15 2607 2568 3 M  3.746381347  1.076361e+00 1.8238808 0
  16 2607 2692 3 M  1.906132295  6.533667e-01 1.1995414 0
  17 2607 2692 3 F  1.545201372 -1.681227e-01 1.3160328 0
  18 2607 2692 3 M  2.485364570  1.264413e+00 1.1576599 0
  19 2607 2692 3 M  1.148924388 -2.737262e-01 1.3115688 0
  20 2607 2692 3 M  0.457071275 -1.149678e+00 1.2663930 0
  21 2449 2305 3 F  2.061390458 -4.895746e-01 1.7118073 0
  22 2449 2305 3 F  1.843629688 -5.905410e-01 1.6522478 0
  23 2449 2305 3 F  1.975050495 -5.908791e-01 1.6799986 0
  24 2449 2305 3 M  1.071776256 -2.175875e-01 1.4499222 0
  25 2449 2305 3 M  1.947599320  5.496180e-01 1.4261489 0
  26 2449 3096 3 F -0.814038208 -1.461611e-01 0.2820969 0
  27 2449 3096 3 M -0.603669573  8.721738e-02 0.5329375 0
  28 2449 3096 3 F -0.379547429  2.066212e-01 0.3657305 0
  29 2449 3096 3 F -0.500960410  9.358600e-02 0.4593049 0
  30 2449 3096 3 M  0.150709035  5.477640e-01 0.4582936 0
  31 3074 3287 3 M  0.423778916 -6.844986e-01 1.2801605 0
  32 3074 3287 3 F  2.708471399  2.785214e-01 1.5338423 0
  33 3074 3287 3 F  1.600879805 -3.154315e-01 1.3812020 0
  34 3074 3287 3 M  2.681361344  1.397600e-01 1.5138372 0
  35 3074 3287 3 M  1.810054448 -4.912958e-01 1.6523539 0
  36 3074 2675 3 M  1.837234174  4.561276e-01 1.3586641 0
  37 3074 2675 3 F  1.786946810  5.225603e-02 1.4481313 0
  38 3074 2675 3 M  0.388455151 -2.672647e-01 0.9659221 0
  39 3074 2675 3 M  1.247968566 -9.762668e-01 1.6027411 0
  40 3074 2675 3 F  2.845260925  3.200962e-01 1.5747867 0
  41 3278 2370 3 M  1.581165198 -2.040372e-01 1.4136355 0
  42 3278 2370 3 F -0.044669874 -1.209563e+00 1.2292985 0
  43 3278 2370 3 F  1.705378815 -4.999931e-02 1.3417637 0
  44 3278 2370 3 M  1.170993275  3.695381e-02 1.3386813 0
  45 3278 2370 3 M  2.997342228  1.195630e+00 1.4108920 0
  46 3278 3097 3 F  0.129208749 -9.723921e-01 1.1153080 0
  47 3278 3097 3 F  1.624847263  2.768080e-01 1.1840616 0
  48 3278 3097 3 M  1.159118468 -7.433649e-02 1.1525849 0
  49 3278 3097 3 F  0.692927696 -4.514525e-01 1.2465484 0
  50 3278 3097 3 F  1.220182058 -1.151629e-02 1.2971026 0
  51 2605 2521 3 M  2.321402513 -3.056903e-01 1.6616023 0
  52 2605 2521 3 M  2.207297658 -4.499433e-01 1.7514528 0
  53 2605 2521 3 M  2.370658821  1.647351e-01 1.5779231 0
  54 2605 2521 3 F  3.294369776  8.921890e-01 1.6519990 0
  55 2605 2521 3 F  2.075702286  1.838749e-01 1.3848015 0
  56 2605 2303 3 F  0.269861899 -4.826703e-01 1.0558218 0
  57 2605 2303 3 M  0.330860557 -1.819162e+00 1.4328830 0
  58 2605 2303 3 F  0.412517176 -9.712723e-01 1.1947352 0
  59 2605 2303 3 F  3.188971697  1.559258e+00 1.3423880 0
  60 2605 2303 3 F  0.545670522 -5.828035e-02 1.0208384 0
  61 2583 2530 3 F  2.309290929  2.095910e-01 1.3867041 0
  62 2583 2530 3 F  0.381415716 -6.258438e-01 1.2460768 0
  63 2583 2530 3 F  1.913738990 -1.477101e-01 1.3375910 0
  64 2583 2530 3 M  0.613629296 -8.498921e-01 1.2667381 0
  65 2583 2530 3 F  3.326840371  1.351359e+00 1.4129946 0
  66 2583 3034 3 M  2.932068501 -1.131257e-01 1.8468436 0
  67 2583 3034 3 M  3.049413583 -6.704913e-02 1.8217385 0
  68 2583 3034 3 F  2.406290406  4.074270e-01 1.4064143 0
  69 2583 3034 3 M  2.277974010 -9.795289e-01 1.8541590 0
  70 2583 3034 3 F  0.564693072 -1.727263e+00 1.6372395 0
  71 2581 2366 3 F  3.199197961  2.836631e-01 1.6390945 0
  72 2581 2366 3 M  2.447356992 -7.665735e-02 1.5466072 0
  73 2581 2366 3 F  2.397436717 -5.380303e-02 1.5487064 0
  74 2581 2366 3 M  2.391419327 -5.765571e-01 1.6611102 0
  75 2581 2366 3 M  2.231037843 -1.515887e-01 1.5746202 0
  76 2581 2304 3 F  1.201898183 -7.977202e-01 1.3609117 0
  77 2581 2304 3 F  2.626868170  1.344123e-01 1.5260146 0
  78 2581 2304 3 M  3.651238736  9.462777e-01 1.6246743 0
  79 2581 2304 3 F  2.589376042  9.144793e-02 1.5447109 0
  80 2581 2304 3 F  2.242816521  5.563147e-02 1.4551074 0
  81 3066 2674 3 M  1.531506061  3.453331e-01 1.2257500 0
  82 3066 2674 3 M  3.048486348 -1.976294e-01 1.7016973 0
  83 3066 2674 3 M  1.659039061 -6.546602e-01 1.4322741 0
  84 3066 2674 3 M  4.509834652  1.146725e+00 1.8162298 0
  85 3066 2674 3 F  3.543741238  7.423748e-01 1.7787265 0
  86 3066 3098 3 M  1.915421487 -1.208570e-01 1.5248313 0
  87 3066 3098 3 M  2.285451835  5.446956e-01 1.5133146 0
  88 3066 3098 3 F  3.448184358  1.521980e+00 1.3728490 0
  89 3066 3098 3 F  1.281164426  3.717651e-01 1.1416984 0
  90 3066 3098 3 M  1.051132721 -3.400000e-02 1.1683319 0
