probIn scale
0.4207705 0.004093895
0.3709278 0.003911267
0.3801132 0.003881112
0.2986845 0.003989546
0.237033 0.003978863
0.2032412 0.003775586
0.1691257 0.003625827
0.2202026 0.003344659
0.2297812 0.003251795
0.1850989 0.003593034
0.1783306 0.00339382
0.2203056 0.00335578
0.1883868 0.003731917
0.1966778 0.003814938
0.1813822 0.003891553
0.1782944 0.004091539
0.2257319 0.003960183
0.2431511 0.003988709
0.2287551 0.003715353
0.2249188 0.003492123
0.240059 0.003246223
0.2428084 0.003390402
0.2915411 0.003385598
0.3601886 0.003428417
0.3534173 0.003522026
0.2719724 0.003721955
0.2872194 0.003844691
0.3001742 0.003854718
0.2720536 0.004038512
0.3008324 0.004307234
0.3138129 0.004130559
0.3298511 0.004190255
0.2765833 0.004335099
0.281201 0.003998445
0.2072897 0.004075214
0.1734821 0.00398901
0.166781 0.004246422
0.1634615 0.004181184
0.1455299 0.003988925
0.1279848 0.003949661
0.1320804 0.003582824
0.1309649 0.0036566
0.08105042 0.003479131
0.1274445 0.004035992
0.1052451 0.004127905
0.1152387 0.003935167
0.1101115 0.004169593
0.1079152 0.004158914
0.1312817 0.003975538
0.150595 0.004049816
0.106423 0.00396536
0.1361483 0.003824408
0.1263744 0.003945752
0.1041597 0.003693173
0.1033856 0.003836083
0.0850758 0.003813986
0.1071292 0.00384278
0.133741 0.003903142
0.1308924 0.004040049
0.1112843 0.004152847
0.11823 0.004205291
0.1525473 0.004217386
0.1469362 0.004046139
0.1715654 0.0039952
0.1938931 0.003952788
0.2036106 0.003908848
0.1996626 0.00366771
0.2024924 0.003722686
0.2135537 0.003808494
0.2471208 0.003876287
0.2232306 0.003777
0.2527624 0.004474465
0.2764943 0.004181928
0.3073031 0.004166345
0.3258535 0.004088256
0.2499075 0.004299064
0.2756072 0.003900974
0.2130485 0.003653161
0.2149264 0.003607409
0.2177242 0.003916005
0.2189342 0.003991471
0.240178 0.004226104
0.2162026 0.004194054
0.1975068 0.003958641
0.2431417 0.004103054
0.257597 0.004265857
0.2873984 0.004283586
0.2710937 0.004404812
0.212795 0.004414936
0.2392106 0.004107256
0.2676711 0.004383708
0.2595672 0.004361706
0.2751917 0.003966392
0.2817603 0.003674483
0.246768 0.003674634
0.2356933 0.003651697
0.262871 0.003559472
0.2403149 0.003432908
0.2738508 0.003397897
0.2393347 0.003470272
0.2065643 0.003505424
0.239448 0.003581025
0.1922812 0.003627816
0.1814759 0.003649533
0.2061896 0.003760159
0.1934755 0.003548431
0.2403693 0.003625728
0.2183879 0.003974526
0.1643306 0.00417739
0.1380929 0.004105017
0.162825 0.003837349
0.1537327 0.003582648
0.1668697 0.003488903
0.1708446 0.003694968
0.184847 0.003542763
0.1952814 0.003532032
0.2154675 0.003340186
0.2405699 0.003537965
0.2783028 0.003881941
0.2446027 0.003674558
0.2682282 0.003679633
0.2439068 0.003897102
0.2108634 0.00427825
0.2028202 0.004235786
0.1413366 0.004036214
0.09564675 0.003792552
0.1213355 0.003628753
0.1483573 0.003089575
0.1489239 0.003216825
0.1392014 0.003138615
0.1377718 0.003099483
0.1514332 0.002981838
0.1565552 0.003046822
0.1631389 0.003084309
0.2247235 0.00310326
0.1676758 0.002920273
0.2223117 0.002636842
0.2217955 0.002554607
0.2317579 0.002571989
0.2494628 0.002546479
0.2554946 0.002360394
0.2398671 0.002135912
0.261387 0.002143077
0.2560795 0.002098021
0.2969803 0.0022176
0.3400608 0.002134113
0.3671027 0.002144386
0.3666767 0.002132776
0.3510635 0.002066443
0.3852803 0.002093148
0.3277843 0.002035811
0.2960688 0.001959763
0.2874513 0.001892099
0.3018424 0.001965064
0.2691835 0.001971646
0.2749374 0.001946418
0.2666486 0.00205625
0.2688392 0.002012874
0.2950243 0.001852707
0.2971378 0.001910603
0.2802033 0.001990581
0.2604612 0.001973475
0.269601 0.001982759
0.2320726 0.002028046
0.2322689 0.002178634
0.2651846 0.00205449
0.2759643 0.002040609
0.2635719 0.001922787
0.2721256 0.001905903
0.2865865 0.001833806
0.2650288 0.001825808
0.1855978 0.001682222
0.1915118 0.001699637
0.2221261 0.001647458
0.1945673 0.001612416
0.2146997 0.00159992
0.2009746 0.001640979
0.1847438 0.001607995
0.1784614 0.001577065
0.1784894 0.001654585
0.2337537 0.001600218
0.2415074 0.001622339
0.232242 0.001606784
0.2741493 0.001667306
0.3327035 0.001543741
0.4060209 0.001459663
0.389705 0.001502819
0.3863592 0.001624527
0.4098412 0.001777733
0.3902342 0.001724265
0.4326987 0.001614957
0.4791444 0.001629787
0.4923415 0.001588376
0.5588996 0.001573548
0.6096863 0.001567681
0.609776 0.00152972
0.6086371 0.001492621
0.5940068 0.001481391
0.5935285 0.001525836
0.5957098 0.001422467
