probIn scale
0.4436563 0.005859407
0.4301423 0.006248033
0.4396844 0.006180552
0.420424 0.006247103
0.4289561 0.006208067
0.4279554 0.005708363
0.4160658 0.005519818
0.3481694 0.005889279
0.339317 0.005823174
0.3493127 0.005767776
0.3402343 0.005670889
0.3020009 0.005110497
0.2832829 0.004964512
0.26032 0.004801759
0.2727918 0.004682553
0.2355464 0.004719686
0.2368353 0.004330163
0.2366181 0.004021755
0.2378451 0.004282116
0.271288 0.004562704
0.2423419 0.004214159
0.2755012 0.004097332
0.2456573 0.004243015
0.2540567 0.004601992
0.2352739 0.004521952
0.2034363 0.004930008
0.186068 0.00515293
0.1843086 0.005175735
0.2205581 0.005217157
0.2105194 0.005545643
0.2213361 0.005410372
0.1913191 0.004868516
0.1909813 0.0045796
0.1747784 0.0045002
0.2218338 0.004589558
0.222222 0.004638095
0.2331495 0.00479132
0.2487441 0.004921262
0.2800515 0.00455195
0.3183737 0.004274732
0.3272483 0.004152937
0.3841001 0.00409676
0.3707173 0.004002234
0.3843775 0.003926666
0.4023262 0.003974127
0.4087521 0.003805193
0.3980044 0.003594127
0.3622615 0.003733313
0.3944377 0.003616092
0.3622852 0.003626888
0.3156451 0.003417907
0.3992992 0.00347787
0.3636367 0.003530539
0.3783158 0.003469849
0.3349618 0.003347171
0.3132858 0.003586487
0.3152455 0.003431721
0.3247044 0.003504375
0.3219822 0.003448534
0.3186906 0.003541
0.3120211 0.003646837
0.3076939 0.003635172
0.336299 0.003812064
0.3290121 0.003887713
0.2919523 0.003814481
0.2479574 0.003754977
0.2679801 0.003516037
0.2122914 0.003834033
0.2149463 0.003876923
0.1941586 0.003921329
0.1715637 0.003727614
0.1322716 0.003194916
0.1597165 0.003389709
0.1427076 0.00329578
0.1814036 0.00339636
0.1523338 0.003103619
0.1269521 0.003265814
0.1887863 0.003278735
0.1672201 0.003337252
0.2125539 0.003360867
0.2426324 0.003427882
0.2484217 0.00351458
0.2195881 0.003364214
0.2078556 0.003272094
0.2525832 0.003062115
0.2852815 0.003165041
0.1784496 0.002981711
0.2378915 0.003050491
0.231833 0.003112203
0.2265514 0.003162249
0.2263654 0.003040827
0.2337057 0.003080056
0.2195805 0.002907634
0.255381 0.002759673
0.2164635 0.002777216
0.1954146 0.002710951
0.2557731 0.002614098
0.2293626 0.002553148
0.1989027 0.002723797
0.2404924 0.002904722
0.2324688 0.00299437
0.2126485 0.002979762
0.2511786 0.003041774
0.2743335 0.002897434
0.2558747 0.002944899
0.2615104 0.003127274
0.25492 0.002835689
0.2701767 0.002738371
0.2607187 0.002806968
0.2269574 0.002885802
0.2504425 0.002917556
0.2355339 0.003049974
0.2589264 0.00319673
0.2728842 0.003172732
0.3002407 0.002993194
0.3161625 0.003022343
0.3716422 0.003063111
0.40819 0.002848996
0.4667282 0.002755536
0.5157351 0.00286499
0.4409565 0.002754585
0.4288069 0.002735132
0.4792096 0.002675618
0.444261 0.002516415
0.4764115 0.002548197
0.5344019 0.002720252
0.5685795 0.002834184
0.5610525 0.002748396
0.5602512 0.002900553
0.5127634 0.003258608
0.5096937 0.003217981
0.5282084 0.003344094
0.5314824 0.003250852
0.5135749 0.003294869
0.5276413 0.003250453
0.5100102 0.003276423
0.511896 0.003078553
0.4456897 0.00283399
0.4175896 0.002797095
0.4135978 0.002853229
0.3972159 0.002869963
0.4234274 0.002864274
0.377582 0.002852793
0.3964304 0.002746134
0.4155475 0.002657867
0.3762686 0.00273181
0.3423249 0.002814058
0.2854194 0.002723921
0.2634653 0.002648
0.3044949 0.002567547
0.3857748 0.002643688
0.3674441 0.002433562
0.3454507 0.002422542
0.3237108 0.002341553
0.3079666 0.002270388
0.2810827 0.002270769
0.279973 0.002094103
0.3138188 0.002100048
0.3414411 0.002146113
0.3511696 0.002325024
0.3496433 0.002305362
0.3135428 0.002151878
0.3518352 0.002025837
0.3004434 0.001932928
0.325982 0.002010835
0.2859858 0.001955128
0.2430686 0.002122209
0.2635077 0.002028344
0.2005879 0.002102757
0.2125719 0.00202722
0.2283454 0.001898676
0.2097857 0.001918497
0.2005719 0.001957575
0.1906435 0.001990953
0.2257597 0.002085599
0.2222567 0.001971927
0.2681625 0.001966621
0.2876118 0.001961123
0.3023123 0.001868502
0.3094709 0.00192158
0.259835 0.002001037
0.2184942 0.002086733
0.2370277 0.001966438
0.2654166 0.001902238
0.2763044 0.00189797
0.264644 0.00181647
0.3295414 0.001755548
0.38825 0.001724512
0.406337 0.001757992
0.4135724 0.001774923
0.47272 0.001906572
0.402941 0.001942221
0.3513748 0.001945541
0.4027379 0.002023285
0.4343132 0.001959632
0.4675906 0.001857464
0.3884465 0.001930898
0.4023398 0.001933614
0.3422684 0.001997885
0.3523659 0.001982714
