ID sire dam generation sex phen env tbvp gebvp
   1 5332 6003 6 F  2.439030403 -0.0409325095 1.7985010 0
   2 5332 6003 6 F  4.089676833  0.9703513548 1.9885849 0
   3 5332 6003 6 M  1.099014567 -0.1374496529 1.6903511 0
   4 5332 6003 6 F  1.410823947 -0.8021147374 1.8166945 0
   5 5332 6003 6 M  1.285907751 -0.9896155684 1.8496944 0
   6 5332 5953 6 F  1.663614580 -0.2032078932 1.7461965 0
   7 5332 5953 6 M  0.586394620 -1.4733750997 1.7741997 0
   8 5332 5953 6 F  1.859651112 -0.5151468657 1.8808349 0
   9 5332 5953 6 M  2.644148853 -0.4403022018 2.1542448 0
  10 5332 5953 6 M  1.187877677 -0.8819802442 1.8976653 0
  11 5642 5718 6 M  3.505400812  1.0817917882 1.9863039 0
  12 5642 5718 6 M  2.482458985 -0.5843132441 2.0383528 0
  13 5642 5718 6 M  3.420698261  0.6872750018 2.1074183 0
  14 5642 5718 6 F  3.511229243  0.3677722597 2.0607907 0
  15 5642 5718 6 M  2.623191841 -0.9449067264 2.1002621 0
  16 5642 5577 6 M  1.907635651 -0.0997026655 1.9522841 0
  17 5642 5577 6 M  2.016686417 -0.3928724587 1.8288502 0
  18 5642 5577 6 M  1.614264300 -0.1404729037 1.9478764 0
  19 5642 5577 6 F  1.842794369  0.1284888073 1.8981558 0
  20 5642 5577 6 F  3.094336873  0.5621251797 2.1351771 0
  21 5522 5576 6 M  2.570730663 -0.0429408232 1.9729114 0
  22 5522 5576 6 M  2.410672111 -0.0826210324 2.1394685 0
  23 5522 5576 6 F  2.244667077  0.0384307879 1.8964892 0
  24 5522 5576 6 F  1.884212977 -0.7547482117 1.9557803 0
  25 5522 5576 6 M  2.001768584 -0.3565644086 2.0948707 0
  26 5522 5956 6 M  3.825809018 -0.1959501626 2.3708340 0
  27 5522 5956 6 M  3.183873307 -0.3771513307 2.3181753 0
  28 5522 5956 6 F  3.442736595  0.1059432808 2.3846090 0
  29 5522 5956 6 F  2.255588658 -1.4111901900 2.4210495 0
  30 5522 5956 6 F  3.633224468 -0.0637724705 2.4327482 0
  31 5547 5720 6 M -0.256791428 -0.0184209144 0.7975938 0
  32 5547 5720 6 M -1.068622371 -0.5013112587 0.7984488 0
