ID sire dam generation sex phen env tbvp gebvp
   1 1389 1852 2 M -1.2821002397 -0.377290399 0.4354760 0
   2 1389 1852 2 M -1.5991844432 -1.053796122 0.4547679 0
   3 1389 1852 2 F -0.3927984827 -0.237146193 0.6171359 0
   4 1389 1852 2 M  0.4621454261  0.895146563 0.5542350 0
   5 1389 1852 2 F -0.5687948037 -0.024280018 0.4481936 0
   6 1389 2261 2 M  3.5184315722  0.353382955 1.7135305 0
   7 1389 2261 2 F  1.0085345648 -1.086911307 1.4435727 0
   8 1389 2261 2 M  2.0828967498  0.284327523 1.4405551 0
   9 1389 2261 2 M  2.5676785998 -0.438216341 1.6721496 0
  10 1389 2261 2 F  3.2435187477  0.562550706 1.5177825 0
  11 1303 1419 2 F  3.5331259103 -0.236948482 1.9950089 0
  12 1303 1419 2 M  3.3212414613  0.571685449 1.7157936 0
  13 1303 1419 2 M  3.0374807895 -0.053534846 1.7611666 0
  14 1303 1419 2 M  2.1982548493 -0.354510613 1.6078478 0
  15 1303 1419 2 M  3.2604282241  0.239911833 1.7732900 0
  16 1303 2282 2 M  2.4191759209 -0.388656451 1.6842871 0
  17 1303 2282 2 M  2.9315195004  0.024528962 1.6998772 0
  18 1303 2282 2 M  2.9173246419  0.515039043 1.5341487 0
  19 1303 2282 2 F  1.5008549637 -0.930777692 1.4775367 0
  20 1303 2282 2 F  2.7456648521  0.376901659 1.5444470 0
  21 1310 2074 2 F  1.0704022453 -0.748983498 1.2754554 0
  22 1310 2074 2 F  2.5744966196  1.827979098 1.0479520 0
  23 1310 2074 2 F  1.0702927853 -1.057774113 1.4543055 0
  24 1310 2074 2 M  3.4832506466  0.852448909 1.5541652 0
  25 1310 2074 2 M  2.3397668449  0.132743055 1.5510646 0
  26 1310 1882 2 M  2.8450661366  1.071670246 1.3552636 0
  27 1310 1882 2 M -0.0057817063 -0.662886016 1.0045757 0
  28 1310 1882 2 M  1.8275521508 -0.376428347 1.4915668 0
