ID sire dam generation sex phen env tbvp gebvp
   1 4209 3471 4 M  3.52842248  0.5483473521 1.8721518 0
   2 4209 3471 4 F  2.56506271  0.7611954623 1.5354892 0
   3 4209 3471 4 F  2.57364536 -0.0353116528 1.7596127 0
   4 4209 3471 4 F  3.48808810  0.0117858529 1.9779510 0
   5 4209 3471 4 F  3.01555369  0.3907643160 1.8846975 0
   6 4209 3491 4 M  1.32866704 -0.2221653084 1.4428943 0
   7 4209 3491 4 M  1.64194605  0.1969961670 1.4137342 0
   8 4209 3491 4 M  2.30703347  0.1376961003 1.7288224 0
   9 4209 3491 4 M  1.43924579  0.0284850055 1.4614760 0
  10 4209 3491 4 M  1.58459446 -0.4524721314 1.6442192 0
  11 3395 3495 4 F  1.44238062 -0.8247942589 1.8184054 0
  12 3395 3495 4 M  1.87811428 -0.5580935504 1.7160952 0
  13 3395 3495 4 F  2.04633905 -0.5768430942 1.8749676 0
  14 3395 3495 4 F  2.57231046 -0.5768711420 1.9821667 0
  15 3395 3495 4 F  1.28547654 -1.1658612081 1.7161677 0
  16 3395 4255 4 F  2.23469858 -0.2466047551 1.9153798 0
  17 3395 4255 4 M  1.85988483  0.2474228703 1.5114553 0
  18 3395 4255 4 M  2.31035518  0.1275275342 1.7111464 0
  19 3395 4255 4 F  0.82209133 -0.4611319685 1.5317347 0
  20 3395 4255 4 F  3.74770887  1.4367898264 1.8269885 0
  21 3392 3330 4 M  2.26695292 -0.5474097184 1.8839991 0
  22 3392 3330 4 F  3.85758809  1.2519093302 1.7391370 0
  23 3392 3330 4 F  1.51250089 -0.4232964614 1.6817004 0
  24 3392 3330 4 F  3.59810995  0.0070117189 2.0763909 0
  25 3392 3330 4 M  0.83587195 -1.4385693902 1.7445933 0
  26 3392 3429 4 F  2.44512720 -0.2224814042 1.7364077 0
  27 3392 3429 4 F  1.14591838 -0.7702716339 1.4734816 0
  28 3392 3429 4 F  1.79809746  0.3437810506 1.4576479 0
  29 3392 3429 4 F  1.44598132 -1.2386682242 1.8219305 0
  30 3392 3429 4 M  3.10065678  0.5004412069 1.7590867 0
  31 3664 3492 4 F  0.27995708 -0.5918432765 1.2334710 0
  32 3664 3492 4 F  1.44971761 -0.2678745857 1.5886769 0
  33 3664 3492 4 M  2.06106350  0.2335629638 1.5800729 0
  34 3664 3492 4 F -0.17987666 -1.3209243961 1.3386829 0
  35 3664 3492 4 F  0.43816332 -0.3920747647 1.2580132 0
  36 3664 3797 4 M  1.53950801 -0.7361178171 1.6242303 0
  37 3664 3797 4 M  3.07453205  0.2999272597 1.7331074 0
  38 3664 3797 4 M  1.16400213 -0.3715570624 1.4142182 0
  39 3664 3797 4 M  3.24484303 -0.0555362358 1.9317548 0
  40 3664 3797 4 F  1.25673190  0.1020589925 1.2967146 0
  41 3435 3728 4 M -0.35199465 -0.3991152941 0.8824566 0
  42 3435 3728 4 F -1.70333256 -0.6522445016 0.5418568 0
  43 3435 3728 4 M -0.68490267 -0.4701126203 0.7991738 0
  44 3435 3728 4 F -0.26335597  0.2842372244 0.6621517 0
  45 3435 3728 4 F -1.20144383 -1.1715321091 0.8312742 0
  46 3435 3908 4 F  2.38656924  0.5569939504 1.4277657 0
  47 3435 3908 4 M  2.31922085  1.0032181085 1.3089262 0
  48 3435 3908 4 M  2.09265267 -0.6191652739 1.7148667 0
  49 3435 3908 4 M  1.65755843  0.1373765984 1.4120132 0
  50 3435 3908 4 M  1.27435840 -0.3533778157 1.3845154 0
  51 4112 3995 4 F  2.10569803  0.5235071106 1.4089327 0
  52 4112 3995 4 F  2.40900894 -0.2432651897 1.7525486 0
  53 4112 3995 4 F  3.05195138 -0.1683270827 1.9287326 0
  54 4112 3995 4 F  1.40674503 -0.6201034384 1.6930425 0
  55 4112 3995 4 F  2.26172552  0.3203636448 1.5578592 0
  56 4112 3676 4 F  2.99874175  1.3111516796 1.4705649 0
  57 4112 3676 4 M  3.07320349  1.0964830762 1.4975724 0
  58 4112 3676 4 M  1.48239400 -0.8274458643 1.6958013 0
  59 4112 3676 4 F  2.31393751  0.2129973347 1.5215437 0
  60 4112 3676 4 M  2.08223358 -0.2494635335 1.6224340 0
  61 3833 3485 4 M  2.28491054  0.1172034606 1.7232033 0
  62 3833 3485 4 M  2.20316434  0.2088248602 1.5946370 0
  63 3833 3485 4 F  3.66314570  1.2097653648 1.7394732 0
  64 3833 3485 4 F  4.23425662  1.8587630869 1.7405531 0
  65 3833 3485 4 F  1.18693516 -0.0875262120 1.3620402 0
  66 3833 3991 4 M  2.58921484  0.3715303835 1.6816985 0
  67 3833 3991 4 F  3.98446817  1.1940508062 1.8321511 0
  68 3833 3991 4 M  1.46583336  0.0848459171 1.4785063 0
  69 3833 3991 4 F  1.57614937 -0.2634075144 1.5161674 0
  70 3833 3991 4 F  2.66573961  0.6904618008 1.6602489 0
  71 3432 4198 4 F  1.86481276 -0.5618045110 1.6715252 0
  72 3432 4198 4 F  2.71514700 -0.2221424886 1.6871431 0
  73 3432 4198 4 M  3.97711680  1.7793558655 1.6316733 0
  74 3432 4198 4 F  2.49981993  0.6763595805 1.5125937 0
  75 3432 4198 4 M  2.18668935 -0.2237922468 1.5675555 0
  76 3432 3792 4 F  2.90139696  0.8110148792 1.6439249 0
  77 3432 3792 4 M  2.93925882  0.5290039076 1.6819048 0
  78 3432 3792 4 F  3.50614673  0.5816163184 1.7684299 0
  79 3432 3792 4 F  2.82739284  1.0311698853 1.4659582 0
  80 3432 3792 4 M  3.29107789  0.6661577942 1.6957461 0
  81 3831 4000 4 F  2.88386143  0.4525578910 1.7427014 0
  82 3831 4000 4 F  1.47386328 -1.3829825478 1.8284722 0
  83 3831 4000 4 M  0.82770081 -0.2257863839 1.1490822 0
  84 3831 4000 4 M  2.70612868  0.7905194117 1.6010051 0
  85 3831 4000 4 F  0.41340592 -1.0488866627 1.2243564 0
  86 3831 3489 4 F  0.36239003 -1.3078577777 1.6621304 0
  87 3831 3489 4 M  1.52552363 -0.4093412228 1.4697450 0
  88 3831 3489 4 F  2.60805466  0.7557598469 1.3630591 0
  89 3831 3489 4 F  2.08904179  0.4368090990 1.3770583 0
  90 3831 3489 4 M  3.37458041  0.8491951644 1.7186706 0
  91 3369 3490 4 F  2.27087403 -0.4459759144 1.6470754 0
  92 3369 3490 4 F  3.27772230  0.0569644967 1.8689358 0
  93 3369 3490 4 F  1.56796694 -0.8528904147 1.5973939 0
  94 3369 3490 4 F  2.05582962 -0.6438899594 1.6947523 0
  95 3369 3490 4 M  4.38588059  1.2664898155 1.7746846 0
  96 3369 3791 4 M  2.44474742  0.5883022453 1.5541799 0
  97 3369 3791 4 M  2.35597754  0.4483540385 1.4845398 0
  98 3369 3791 4 F  1.45083980 -0.6620484180 1.6799185 0
  99 3369 3791 4 F  2.36900499 -0.4780131343 1.8260312 0
 100 3369 3791 4 F  0.88414916 -0.9215119695 1.4540151 0
 101 3803 3960 4 F  2.21860900  0.3658996709 1.5582777 0
 102 3803 3960 4 M  2.01061587 -0.2510765862 1.7342793 0
 103 3803 3960 4 F  1.10738351 -0.6925195215 1.6430703 0
 104 3803 3960 4 F  1.56112271 -0.5105138951 1.6751676 0
 105 3803 3960 4 M  2.04330159  0.4921407680 1.5141146 0
 106 3803 3364 4 M  2.36454591  0.0114281776 1.7190629 0
 107 3803 3364 4 F  3.37062978  1.3652645028 1.5155119 0
 108 3803 3364 4 F  3.16767580 -0.1126777525 1.9021505 0
 109 3803 3364 4 F  3.44961649  0.5850568952 1.8739153 0
 110 3803 3364 4 M  1.92485559  0.2591236510 1.4477853 0
 111 3314 4251 4 M  2.13443836  0.7801700533 1.4853924 0
